Silverado Resort : Sales by Item
Rpt Date,5/16/2026 2:27:58 PM
Date Range,5/9/2026 - 5/9/2026
Time Range,12:00 AM - 11:59 PM
Class Type,Sales Class
Cost Centers,02-MatchPlay
Include Zero Priced Items,Yes
Major Classes,All
Major Jobs,All
Menu Items,All
Minor Classes,All
Minor Jobs,All
Order Status,All
Report By,User Closed
Segments,All
Service Types,All
Users,All

Minor Class,Menu Item,Quantity,Amount
Appetizers,Chef's Garden Crudité,1,$20.00
Appetizers,Duck Confit Croquettes,6,$128.80
Appetizers,Dungeness Crab Cake,9,$207.50
Appetizers,Kids Fruit Cup,2,$16.00
Appetizers,Plain,1,$0.00
Appetizers,Salt Spring Island Mussels,8,$196.00
Appetizers,Tempura Oyster Mushrooms,11,$161.60
Appetizers,Thousand Layer Potato,8,$144.00
Appetizers,Whipped Farmer's Cheese,3,$47.60
Beer Bottle,Athletic IPA N/A,2,$12.60
Beer Bottle,Coors Light BTL,12,$84.00
Beer Bottle,Stella Btl,4,$25.20
Beer Bottle,Trumer Pilsner BTL,2,$20.00
Beer Draft,12oz Almanac Hazy IPA,1,$9.00
Beer Draft,16oz Big Sur Dipa,2,$22.00
Beer Draft,16oz Faction Pilsner,1,$8.80
Beer Draft,16oz Farmers Light Lager,6,$55.00
Beer Draft,16oz Gummy Worms Hazy,7,$77.00
Beer Draft,16oz Mighty Cider,1,$11.00
Beer Draft,16oz Swamis IPA,4,$41.80
Beer Draft,20oz Big Sur Dipa,1,$11.00
Beer Draft,20oz Faction Pilsner,5,$50.60
Beer Draft,20oz Farmers Light Lager,2,$19.80
Beer Draft,20oz Gummy Worms Hazy,7,$72.60
Beer Draft,20oz Swamis IPA,5,$50.60
Beer Draft,22oz STS Pilsner,1,$15.00
Bourbon Whiskey,Barrel Old Fashioned,5,$83.60
Bourbon Whiskey,Crown Royal,1,$15.00
Bourbon Whiskey,Green River Bourbon,4,$56.00
Bourbon Whiskey,Jack Daniels,1,$12.00
Bourbon Whiskey,Jameson,2,$24.00
Bourbon Whiskey,Whistle Pig Farmstock Rye,1,$15.00
Breakfast Food,Avocado Toast,3,$72.80
Breakfast Food,Avocado Toast,12,$283.20
Breakfast Food,BLT Benedict,13,$268.40
Breakfast Food,Breakfast Grilled Cheese Sandwich,17,$312.00
Breakfast Food,Egg White Frittata,5,$100.80
Breakfast Food,Garden Omelet,14,$300.00
Breakfast Food,Greek Yogurt Parfait,2,$30.00
Breakfast Food,Lemon Ricotta Waffle,6,$102.60
Breakfast Food,Steak & Eggs,3,$114.00
Breakfast Food,Strawberry Shortcake French Toast,5,$88.00
Breakfast Food,Two Egg Breakfast,26,$545.60
BTL Chardonnay,Honig SB,1,$91.00
BTL Other Red,Open Red,6,"$1,598.96"
BTL Other White,Open White,1,$23.00
BTL Sparkling Wine,Goldeneye BTL,1,$91.01
Cordial,Aperol,9,$109.20
Cordial,Campari,1,$14.00
Cordial,St. Germain,2,$32.00
Dessert,Carrot Cake,7,$99.00
Dessert,Carrot Cake,1,$15.00
Dessert,Cheesecake,2,$25.20
Dessert,Chocolate Mousse,8,$99.00
Dessert,Crème Brûlée,1,$14.00
Dessert,Crème Brûlée,3,$36.00
Dessert,Mascarpone Cheesecake,2,$25.20
Entree Fish,Dungeness Crab Louis,10,$281.60
Entree Fish,Pan Seared Scallops,9,$393.60
Entree Fish,Roasted King Salmon,8,$325.60
Entree Kids,Chocolate Chip Pancakes,4,$57.00
Entree Kids,Green Eggs & Ham,1,$15.00
Entree Kids,Kids - Butter Noodles,7,$105.00
Entree Kids,Kids - Grilled Cheese,1,$15.00
Entree Kids,Kids Burger,6,$90.00
Entree Kids,Kids- Chicken Strips,9,$132.00
Entrée Meat,Bistro Filet Steak Frites,6,$343.00
Entrée Meat,Double Cut Pork Chop,6,$259.20
Entrée Meat,Grilled Zabuton Steak,4,$285.00
Entrée Meat,Matchplay Burger,17,$377.50
Entrée Meat,Matchplay Short Rib Burger,30,$742.50
Entrée Meat,Open Food,16,$100.50
Entrée Meat,Steak Frites,2,$76.00
Entrée Meat,Tagliatelle Bolognese,11,$301.60
Entree Poultry,Chicken Pot Pie,13,$366.00
Entree Poultry,Fried Chicken Sandwich,9,$180.96
Entree Poultry,Fried Chicken Sandwich,7,$160.00
Entree Poultry,Two Farm Eggs,2,$44.00
Entree Vegetarian,Fried Green Tomato Caprese,6,$119.60
Entree Vegetarian,Parisian Gnocchi,3,$81.00
Entree Vegetarian,Spring Pea Agnolotti,7,$178.20
Entree Vegetarian,Wild Mushroom Pappardelle,5,$120.00
Fire Course,***FIRE***,20,$0.00
Gin,Barr Hill,1,$16.00
