Silverado Resort : Sales by Item
Rpt Date,5/16/2026 2:27:48 PM
Date Range,5/8/2026 - 5/8/2026
Time Range,12:00 AM - 11:59 PM
Class Type,Sales Class
Cost Centers,02-MatchPlay
Include Zero Priced Items,Yes
Major Classes,All
Major Jobs,All
Menu Items,All
Minor Classes,All
Minor Jobs,All
Order Status,All
Report By,User Closed
Segments,All
Service Types,All
Users,All

Minor Class,Menu Item,Quantity,Amount
GLS Wine ,Ken Wright PN GLS,4,$60.80
GLS Wine ,Mimosa,3,$31.20
GLS Wine ,Schramsberg Noir GLS,1,$21.60
Liqueur,Cassis Spritz,1,$19.00
Liqueur,Limoncello Collins,5,$87.40
Liqueur,Manhattan to Paris,5,$91.20
Liqueur,Noyaux Negroni,3,$45.62
Liquor Modifiers,(MOD) Do Not Make,16,$0.00
Liquor Modifiers,(MOD) Special Instruction,139,$0.00
Liquor Prep,Club Soda,4,$0.00
Liquor Prep,Dirty,3,$0.00
Liquor Prep,Grapefruit,3,$0.00
Liquor Prep,NUTRL - Lime,1,$7.00
Liquor Prep,NUTRL - Orange,1,$7.00
Liquor Prep,NUTRL - Watermelon,2,$14.00
Liquor Prep,NUTRL Black Cherry,1,$7.00
Liquor Prep,Tonic,6,$0.00
Liquor Prep,Twist,1,$0.00
Liquor Prep,Water,4,$0.00
N/C Food Mods,(MOD) (Meat Temp) Medium,26,$0.00
N/C Food Mods,(MOD) Allergy,3,$0.00
N/C Food Mods,(MOD) Med. Well,4,$0.00
N/C Food Mods,(MOD) Well Done,2,$0.00
N/C Food Mods,Bacon,7,$0.00
N/C Food Mods,English Muffin,1,$0.00
N/C Food Mods,Fingerlings,18,$0.00
N/C Food Mods,Fruit,7,$0.00
N/C Food Mods,No Bacon,1,$0.00
N/C Food Mods,No Bun,1,$0.00
N/C Food Mods,No Cheese,3,$0.00
N/C Food Mods,No Pickles,1,$0.00
N/C Food Mods,No Side,5,$0.00
N/C Food Mods,Over Easy,2,$0.00
N/C Food Mods,Over Medium,4,$0.00
N/C Food Mods,Poached Med,3,$0.00
N/C Food Mods,Scrambled,4,$0.00
N/C Food Mods,Sourdough,10,$0.00
N/C Food Mods,Sunny Side Up,1,$0.00
N/C Food Mods,To  Go,8,$0.00
N/C Food Mods,Wheat,4,$0.00
Non-Alcoholic Beverage,(MOD) Med. Rare,27,$0.00
Non-Alcoholic Beverage,Arnold Palmer,2,$8.00
Non-Alcoholic Beverage,Cassis Sparkler N/A,1,$12.00
Non-Alcoholic Beverage,Cherry Sparkler N/A,2,$24.00
Non-Alcoholic Beverage,Coffee,14,$68.00
Non-Alcoholic Beverage,Coke,1,$5.00
Non-Alcoholic Beverage,Diet Coke,9,$42.00
Non-Alcoholic Beverage,Grill Espresso,1,$5.00
Non-Alcoholic Beverage,Hot Tea,2,$10.00
Non-Alcoholic Beverage,Iced Tea,7,$32.00
Non-Alcoholic Beverage,Latte,1,$4.80
Non-Alcoholic Beverage,Lemonade,4,$14.00
Non-Alcoholic Beverage,N/A,2,$16.00
Non-Alcoholic Beverage,Orange Juice,4,$22.80
Non-Alcoholic Beverage,Sprite,5,$22.00
Non-Alcoholic Beverage,Whole Milk,1,$0.00
Priced Food Mod,Add Avocado,2,$10.80
Priced Food Mod,Add Cheese,2,$3.60
Priced Food Mod,Add Egg,1,$3.00
Priced Food Mod,Grilled Chicken,15,$131.00
Priced Food Mod,Salmon,6,$88.38
Priced Food Mod,Side Caesar,4,$9.50
Priced Liquor Mods,Cadillac Margarita,2,$0.00
Priced Liquor Mods,Espresso Martini,10,$30.90
Priced Liquor Mods,Lemon Drop,8,$23.80
Priced Liquor Mods,Manhattan,4,$11.04
Priced Liquor Mods,Margarita,4,$12.24
Priced Liquor Mods,Martini,17,$50.11
Priced Liquor Mods,Old Fashioned,2,$5.16
Priced Liquor Mods,Pickle Olive,1,$3.68
Priced Liquor Mods,Sour,4,$11.96
Priced Liquor Mods,Spritz,9,$28.98
Priced Liquor Mods,Up,1,$2.94
Priced Liquor Mods,Vesper,2,$7.36
Salad & Soup,Burrata & Asparagus Salad,16,$271.97
Salad & Soup,Matchplay Caesar,27,$423.03
Salad & Soup,Strawberry Panzanella,13,$209.01
Scotch Whiskey,Bushmills 12,1,$15.20
Sides,Applewood Smoked Bacon,4,$30.40
Sides,Brussels Sprouts,1,$18.00
Sides,Chicken Apple Sausage Links,3,$0.00
Sides,Fries,55,$0.00
Sides,Garlic Parm Fries,1,$18.00
Sides,Grilled Local Asparagus,1,$12.00
Sides,Half Avocado,1,$6.00
Sides,House Fries,13,$136.80
Sides,One Hen Pen Farm Egg,4,$16.00
Sides,Plain Fries,2,$16.00
Sides,Tempura Prawns,2,$39.60
Sides,Toast,5,$14.40
Tequila,Don Fulano Blanco,1,$15.00
Tequila,Don Fulano Reposado,2,$27.20
Tequila,Herradura Silver,8,$106.40
Tequila,Sour Cherry Margarita,14,$241.30
Vodka,Belvedere,1,$16.00
Vodka,Blue Solstice,1,$19.00
Vodka,Grey Goose,4,$51.20
Vodka,Hanson,5,$61.60
Vodka,Ketel One,6,$67.20
Vodka,Tito's,39,$542.28
Total,,1341,"$15,642.02"
