Silverado Resort : Sales by Item
Rpt Date,5/16/2026 2:28:18 PM
Date Range,5/11/2026 - 5/11/2026
Time Range,12:00 AM - 11:59 PM
Class Type,Sales Class
Cost Centers,02-MatchPlay
Include Zero Priced Items,Yes
Major Classes,All
Major Jobs,All
Menu Items,All
Minor Classes,All
Minor Jobs,All
Order Status,All
Report By,User Closed
Segments,All
Service Types,All
Users,All

Minor Class,Menu Item,Quantity,Amount
Appetizers,Asparagus Soup,2,$30.00
Appetizers,Chef's Garden Crudité,1,$20.00
Appetizers,Cubano Tartine,2,$34.20
Appetizers,Duck Confit Croquettes,5,$89.70
Appetizers,Dungeness Crab Cake,6,$140.00
Appetizers,Salt Spring Island Mussels,3,$72.80
Appetizers,Tempura Oyster Mushrooms,3,$44.80
Appetizers,Thousand Layer Potato,2,$36.00
Appetizers,Whipped Farmer's Cheese,4,$52.70
Beer Bottle,Athletic Golden N/A,1,$7.00
Beer Bottle,Athletic IPA N/A,1,$7.00
Beer Bottle,Coors Light BTL,2,$14.00
Beer Draft,16oz Faction Pilsner,1,$7.20
Beer Draft,16oz Farmers Light Lager,5,$41.40
Beer Draft,16oz Gummy Worms Hazy,2,$18.00
Beer Draft,16oz Swamis IPA,1,$7.20
Beer Draft,20oz Big Sur Dipa,2,$22.00
Beer Draft,20oz Faction Pilsner,1,$11.00
Beer Draft,20oz Gummy Worms Hazy,1,$11.00
Beer Draft,20oz Swamis IPA,2,$22.00
Bourbon Whiskey,Barrel Old Fashioned,6,$98.80
Bourbon Whiskey,Basil Hayden,1,$16.00
Bourbon Whiskey,Buffalo Trace,4,$56.00
Bourbon Whiskey,Green River Bourbon,5,$61.60
Bourbon Whiskey,Woodford,1,$16.00
Breakfast Food,Avocado Toast,1,$26.00
Breakfast Food,BLT Benedict,5,$127.40
Breakfast Food,Breakfast Grilled Cheese Sandwich,1,$24.00
Breakfast Food,Buttermilk Pancakes,1,$17.10
Breakfast Food,Egg White Frittata,1,$21.00
Breakfast Food,Garden Omelet,3,$66.00
Breakfast Food,Greek Yogurt Parfait,2,$27.00
Breakfast Food,Lemon Ricotta Waffle,1,$19.00
Breakfast Food,Steel Cut Oats,2,$28.00
Breakfast Food,Strawberry Shortcake French Toast,1,$20.00
Breakfast Food,Two Egg Breakfast,11,$242.00
BTL Cabernet Sauvignon,Beringer - Cab - BTL ,1,$60.00
BTL Chardonnay,Bouchaine Chardonnay,1,$80.00
BTL Chardonnay,Honig SB,4,$240.00
BTL Other Red,Open Red,1,$8.50
Cordial,Aperol,2,$22.40
Dessert,Carrot Cake,3,$39.00
Dessert,Cheesecake,2,$22.40
Dessert,Chocolate Mousse,3,$39.00
Dessert,Crème Brûlée,1,$9.60
Entree Fish,Ahi Tuna Niçoise,3,$70.00
Entree Fish,Dungeness Crab Louis,1,$25.60
Entree Fish,Lobster Cappelletti,3,$84.00
Entree Fish,Pan Seared Scallops,1,$38.40
Entree Fish,Roasted King Salmon,8,$294.80
Entree Kids,Ice Cream,1,$4.00
Entree Kids,Kids - Butter Noodles,1,$12.00
Entree Kids,Kids - Grilled Cheese,1,$7.50
Entree Kids,Kids Burger,2,$30.00
Entrée Meat,Bistro Filet Steak Frites,4,$280.00
Entrée Meat,Double Cut Pork Chop,3,$115.20
Entrée Meat,Grilled Zabuton Steak,3,$195.00
Entrée Meat,Matchplay Burger,7,$137.50
Entrée Meat,Matchplay Short Rib Burger,7,$178.20
Entrée Meat,Open Food,5,$42.00
Entrée Meat,Steak Frites,1,$19.00
Entrée Meat,Tagliatelle Bolognese,4,$89.90
Entree Poultry,Chicken Pot Pie,8,$189.00
Entree Poultry,Flat Iron Steak ,2,$45.00
Entree Poultry,Fried Chicken Sandwich,3,$53.36
Entree Vegetarian,Fried Green Tomato Caprese,1,$23.00
Entree Vegetarian,Parisian Gnocchi,4,$94.50
Entree Vegetarian,Spring Pea Agnolotti,3,$64.80
Entree Vegetarian,Wild Mushroom Pappardelle,3,$60.00
Fire Course,***FIRE***,5,$0.00
Gin,Bombay Sapphire,1,$12.80
Gin,Nolets,2,$28.80
GLS Wine ,Beringer Cab - BTG,7,$99.00
GLS Wine ,Bernardus PN - BTG ,1,$22.00
GLS Wine ,Black Stallion - Cab - BTG ,5,$81.60
GLS Wine ,Bravium PN - BTG,4,$61.20
GLS Wine ,Buchaine Chardonnay BTG,3,$52.00
GLS Wine ,Chandon By the Bay,4,$72.20
GLS Wine ,Daou BTG,3,$44.20
GLS Wine ,Goldeneye BTG,1,$18.00
GLS Wine ,Honig SB BTG,12,$153.00
GLS Wine ,Honig SB GLS,10,$137.60
GLS Wine ,Justin Chardonnay BTG,4,$68.40
Liqueur,Cassis Spritz,1,$19.00
Liqueur,Manhattan to Paris,1,$19.00
Liquor,Open Liquor,1,$6.00
Liquor,Silverado Mary,4,$68.40
Liquor Modifiers,(MOD) Do Not Make,18,$0.00
Liquor Modifiers,(MOD) No,2,$0.00
Liquor Modifiers,(MOD) Special Instruction,60,$0.00
Liquor Prep,Club Soda,3,$0.00
Liquor Prep,Cranberry,1,$0.00
Liquor Prep,Dirty,2,$0.00
Liquor Prep,Rocks,1,$0.00
Liquor Prep,Salt,2,$0.00
Liquor Prep,Skinny,2,$0.00
Liquor Prep,Tonic,1,$0.00
Mezcal,Little Mexico,1,$15.20
N/C Food Mods,(MOD) (Meat Temp) Medium,8,$0.00
N/C Food Mods,(MOD) Allergy,1,$0.00
N/C Food Mods,(MOD) Med. Well,2,$0.00
N/C Food Mods,English Muffin,1,$0.00
N/C Food Mods,Fruit,3,$0.00
N/C Food Mods,Lettuce Wrap,2,$0.00
N/C Food Mods,No Anchovies,3,$0.00
N/C Food Mods,No Side,3,$0.00
N/C Food Mods,Over Easy,3,$0.00
N/C Food Mods,Over Medium,4,$0.00
N/C Food Mods,Scrambled,2,$0.00
N/C Food Mods,Sourdough,8,$0.00
