Silverado Resort : Sales by Item
Rpt Date,5/16/2026 2:28:38 PM
Date Range,5/13/2026 - 5/13/2026
Time Range,12:00 AM - 11:59 PM
Class Type,Sales Class
Cost Centers,02-MatchPlay
Include Zero Priced Items,Yes
Major Classes,All
Major Jobs,All
Menu Items,All
Minor Classes,All
Minor Jobs,All
Order Status,All
Report By,User Closed
Segments,All
Service Types,All
Users,All

Minor Class,Menu Item,Quantity,Amount
Appetizers,Asparagus Soup,3,$36.00
Appetizers,Chef's Garden Crudité,1,$20.00
Appetizers,Cubano Tartine,2,$34.20
Appetizers,Duck Confit Croquettes,7,$142.60
Appetizers,Dungeness Crab Cake,9,$205.00
Appetizers,Salt Spring Island Mussels,6,$168.00
Appetizers,Tempura Oyster Mushrooms,4,$60.80
Appetizers,Thousand Layer Potato,7,$136.00
Appetizers,Whipped Farmer's Cheese,5,$78.20
Beer Bottle,Athletic IPA N/A,6,$36.40
Beer Bottle,Coors Light BTL,7,$44.80
Beer Bottle,Guinness,1,$8.00
Beer Bottle,Lagunitas IPA BTL,3,$21.00
Beer Bottle,Stella Btl,1,$7.00
Beer Draft,16oz Big Sur Dipa,2,$18.00
Beer Draft,16oz Faction Pilsner,11,$93.60
Beer Draft,16oz Farmers Light Lager,16,$144.00
Beer Draft,16oz Gummy Worms Hazy,2,$18.00
Beer Draft,16oz Swamis IPA,2,$16.20
Beer Draft,20oz Faction Pilsner,9,$99.00
Beer Draft,20oz Farmers Light Lager,6,$66.00
Beer Draft,20oz Gummy Worms Hazy,2,$22.00
Beer Draft,20oz Swamis IPA,4,$44.00
Bourbon Whiskey,Barrel Old Fashioned,4,$76.00
Bourbon Whiskey,Buffalo Trace,2,$25.20
Bourbon Whiskey,Green River Bourbon,1,$14.00
Bourbon Whiskey,Maker's Mark,7,$90.00
Bourbon Whiskey,Michters,1,$16.00
Breakfast Food,Avocado Toast,6,$156.00
Breakfast Food,BLT Benedict,4,$104.00
Breakfast Food,Breakfast Grilled Cheese Sandwich,3,$72.00
Breakfast Food,Buttermilk Pancakes,1,$19.00
Breakfast Food,Cornmeal Biscuit,1,$11.00
Breakfast Food,Garden Omelet,5,$110.00
Breakfast Food,Greek Yogurt Parfait,2,$30.00
Breakfast Food,Steak & Eggs,2,$76.00
Breakfast Food,Steel Cut Oats,3,$42.00
Breakfast Food,Strawberry Shortcake French Toast,1,$20.00
Breakfast Food,Two Egg Breakfast,13,$281.60
BTL Cabernet Sauvignon,Black Stallion - Cab - BTL,1,$68.00
BTL Other Red,Open Red,3,$36.00
Cordial,Campari,1,$14.00
Dessert,Carrot Cake,4,$60.00
Dessert,Cheesecake,1,$14.00
Dessert,Chocolate Mousse,1,$15.00
Dessert,Crème Brûlée,3,$33.60
Entree Fish,Ahi Tuna Niçoise,10,$225.00
Entree Fish,Dungeness Crab Louis,8,$236.80
Entree Fish,Pan Seared Scallops,2,$86.40
Entree Fish,Roasted King Salmon,7,$264.00
Entree Kids,Kids Burger,1,$12.00
Entree Kids,Kids- Chicken Strips,2,$27.00
Entrée Meat,Bistro Filet Steak Frites,4,$245.00
Entrée Meat,Double Cut Pork Chop,4,$182.40
Entrée Meat,Grilled Zabuton Steak,2,$150.00
Entrée Meat,Matchplay Burger,13,$295.00
