Silverado Resort : Sales by Item
Rpt Date,5/16/2026 2:28:09 PM
Date Range,5/10/2026 - 5/10/2026
Time Range,12:00 AM - 11:59 PM
Class Type,Sales Class
Cost Centers,02-MatchPlay
Include Zero Priced Items,Yes
Major Classes,All
Major Jobs,All
Menu Items,All
Minor Classes,All
Minor Jobs,All
Order Status,All
Report By,User Closed
Segments,All
Service Types,All
Users,All

Minor Class,Menu Item,Quantity,Amount
Appetizers,Asparagus Soup,9,$117.00
Appetizers,Duck Confit Croquettes,3,$59.80
Appetizers,Dungeness Crab Cake,9,$196.00
Appetizers,Kids Fruit Cup,3,$24.00
Appetizers,Tempura Oyster Mushrooms,5,$73.60
Appetizers,Thousand Layer Potato,3,$48.00
Appetizers,Whipped Farmer's Cheese,2,$30.60
Beer Bottle,Athletic Golden N/A,1,$7.00
Beer Bottle,Stella Btl,1,$7.00
Beer Draft,16oz Big Sur Dipa,1,$11.00
Beer Draft,16oz Faction Pilsner,4,$41.80
Beer Draft,16oz Farmers Light Lager,4,$37.80
Beer Draft,16oz Gummy Worms Hazy,4,$41.80
Beer Draft,16oz Swamis IPA,2,$22.00
Beer Draft,20oz Big Sur Dipa,1,$11.00
Beer Draft,20oz Faction Pilsner,4,$41.80
Beer Draft,20oz Farmers Light Lager,1,$8.80
Beer Draft,20oz Gummy Worms Hazy,2,$22.00
Beer Draft,20oz Swamis IPA,3,$28.60
Bourbon Whiskey,Barrel Old Fashioned,3,$53.20
Bourbon Whiskey,Bulliet Rye,2,$30.00
Bourbon Whiskey,Green River Bourbon,2,$28.00
Bourbon Whiskey,Woodford,8,$128.00
Breakfast Food,Avocado Toast,16,$405.60
Breakfast Food,Avocado Toast,13,$297.60
Breakfast Food,BLT Benedict,18,$438.00
Breakfast Food,Breakfast Grilled Cheese Sandwich,17,$398.40
Breakfast Food,Egg White Frittata,10,$210.00
Breakfast Food,Garden Omelet,30,$642.40
Breakfast Food,Greek Yogurt Parfait,3,$45.00
Breakfast Food,Lemon Ricotta Waffle,13,$228.00
Breakfast Food,Steak & Eggs,8,$304.00
Breakfast Food,Strawberry Shortcake French Toast,13,$252.00
Breakfast Food,Two Egg Breakfast,29,$602.80
BTL Chardonnay,Bouchaine Chardonnay,1,$100.00
BTL Chardonnay,Honig SB,1,$60.00
BTL Chardonnay,Jayson Chardonnay,1,$91.00
Cordial,Aperol,3,$33.60
Cordial,St. Germain,10,$144.00
Dessert,Carrot Cake,12,$165.60
Dessert,Cheesecake,4,$53.20
Dessert,Chocolate Mousse,5,$72.00
Dessert,Crème Brûlée,5,$57.60
Entree Fish,Dungeness Crab Louis,6,$179.20
Entree Fish,Lobster Cappelletti,1,$24.00
Entree Fish,Pan Seared Scallops,5,$211.20
Entree Fish,Roasted King Salmon,2,$70.40
Entree Kids,Chocolate Chip Pancakes,3,$45.00
Entree Kids,Fruity Pebble Waffle,3,$45.00
Entree Kids,Green Eggs & Ham,3,$45.00
Entree Kids,Kids - Butter Noodles,3,$39.00
Entree Kids,Kids - Grilled Cheese,4,$52.50
Entree Kids,Kids Burger,1,$15.00
Entree Kids,Kids- Chicken Strips,1,$12.00
Entrée Meat,Bistro Filet Steak Frites,4,$238.00
Entrée Meat,Double Cut Pork Chop,2,$86.40
Entrée Meat,Grilled Zabuton Steak,1,$75.00
Entrée Meat,Matchplay Burger,11,$250.00
Entrée Meat,Matchplay Short Rib Burger,16,$368.28
Entrée Meat,Open Food,17,$160.60
Entrée Meat,Tagliatelle Bolognese,11,$291.16
Entree Poultry,Chicken Pot Pie,6,$174.00
Entree Poultry,Flat Iron Steak ,1,$25.00
Entree Poultry,Fried Chicken Sandwich,11,$260.00
Entree Poultry,Fried Chicken Sandwich,5,$111.36
Entree Vegetarian,Fried Green Tomato Caprese,13,$271.40
Entree Vegetarian,Parisian Gnocchi,3,$81.00
Entree Vegetarian,Spring Pea Agnolotti,6,$145.80
Entree Vegetarian,Wild Mushroom Pappardelle,3,$65.00
Fire Course,***FIRE***,7,$0.00
Gin,Bombay Dry,2,$24.00
Gin,Bombay Sapphire,1,$12.80
Gin,Martin Miller's,6,$87.00
Gin,Nolets,1,$12.80
Gin,The Degroff,3,$53.20
GLS White Wine,Goldeneye Brut Rosé GLS,2,$37.80
GLS Wine ,Beringer Cab - BTG,4,$51.00
GLS Wine ,Black Stallion - Cab - BTG ,5,$74.80
GLS Wine ,Bravium PN - BTG,3,$54.00
GLS Wine ,Buchaine Chardonnay BTG,4,$68.00
