Silverado Resort : Sales by Item
Rpt Date,5/16/2026 2:28:28 PM
Date Range,5/12/2026 - 5/12/2026
Time Range,12:00 AM - 11:59 PM
Class Type,Sales Class
Cost Centers,02-MatchPlay
Include Zero Priced Items,Yes
Major Classes,All
Major Jobs,All
Menu Items,All
Minor Classes,All
Minor Jobs,All
Order Status,All
Report By,User Closed
Segments,All
Service Types,All
Users,All

Minor Class,Menu Item,Quantity,Amount
Non-Alcoholic Beverage,Cassis Sparkler N/A,1,$9.60
Non-Alcoholic Beverage,Cherry Sparkler N/A,4,$43.20
Non-Alcoholic Beverage,Coffee,21,$102.00
Non-Alcoholic Beverage,Coke,4,$20.00
Non-Alcoholic Beverage,Diet Coke,11,$54.00
Non-Alcoholic Beverage,Grill Cappuccino,1,$6.00
Non-Alcoholic Beverage,Grill Espresso,3,$15.00
Non-Alcoholic Beverage,Iced Tea,4,$19.00
Non-Alcoholic Beverage,Latte,1,$6.00
Non-Alcoholic Beverage,Lemonade,1,$5.00
Non-Alcoholic Beverage,Orange Juice,1,$6.00
Non-Alcoholic Beverage,Sprite,3,$15.00
Non-Alcoholic Beverage,Whole Milk,1,$0.00
Priced Food Mod,Add 2 Eggs,1,$4.80
Priced Food Mod,Add Avocado,9,$54.00
Priced Food Mod,Add Cheese,2,$3.60
Priced Food Mod,Add Egg,1,$0.00
Priced Food Mod,Grilled Chicken,16,$149.00
Priced Food Mod,Salmon,1,$17.00
Priced Food Mod,Shrimp,1,$9.60
Priced Food Mod,Side Caesar,1,$2.00
Priced Liquor Mods,$ Liq Prep ,1,$7.00
Priced Liquor Mods,Bloody,1,$2.94
Priced Liquor Mods,Manhattan,1,$3.45
Priced Liquor Mods,Margarita,3,$8.38
Priced Liquor Mods,Martini,2,$5.33
Priced Liquor Mods,Old Fashioned,3,$9.02
Priced Liquor Mods,Up,1,$3.22
Rum,Captain Morgan,1,$12.00
Salad & Soup,Asparagus Soup,1,$12.00
Salad & Soup,Burrata & Asparagus Salad,10,$180.00
Salad & Soup,Matchplay Caesar,25,$428.40
Salad & Soup,Strawberry Panzanella,4,$72.20
Sides,Applewood Bacon,8,$18.00
Sides,Chicken Apple Sausage,1,$0.00
Sides,Fries,41,$0.00
Sides,Fruit,2,$24.00
Sides,House Fries,10,$115.20
Sides,Thick Cut Ham,2,$9.00
Sides,Toast,4,$16.00
Tequila,Don Fulano Blanco,3,$39.00
Tequila,Fortaleza Reposado,2,$30.40
Tequila,Herradura Silver,4,$50.40
Tequila,Patron Silver,3,$45.00
Tequila,Sour Cherry Margarita,5,$91.20
Vodka,Grey Goose,2,$28.80
Vodka,Hanson,4,$50.41
Vodka,Ketel One,3,$39.20
Vodka,Tito's,10,$137.60
Total,,757,"$8,498.01"
