Silverado Resort : Sales by Item
Rpt Date,5/16/2026 2:28:48 PM
Date Range,5/14/2026 - 5/14/2026
Time Range,12:00 AM - 11:59 PM
Class Type,Sales Class
Cost Centers,02-MatchPlay
Include Zero Priced Items,Yes
Major Classes,All
Major Jobs,All
Menu Items,All
Minor Classes,All
Minor Jobs,All
Order Status,All
Report By,User Closed
Segments,All
Service Types,All
Users,All

Minor Class,Menu Item,Quantity,Amount
Appetizers,Asparagus Soup,8,$108.00
Appetizers,Chef's Garden Crudité,3,$56.00
Appetizers,Cubano Tartine,4,$72.20
Appetizers,Duck Confit Croquettes,6,$133.40
Appetizers,Dungeness Crab Cake,10,$242.50
Appetizers,Salt Spring Island Mussels,5,$117.60
Appetizers,Tempura Oyster Mushrooms,4,$60.80
Appetizers,Thousand Layer Potato,3,$52.00
Appetizers,Whipped Farmer's Cheese,3,$51.00
Beer Bottle,Athletic Golden N/A,1,$7.00
Beer Bottle,Athletic IPA N/A,1,$7.00
Beer Bottle,Coors Light BTL,18,$126.00
Beer Bottle,Sierra Nevada Pale Ale BTL,3,$21.00
Beer Bottle,Trumer Pilsner BTL,3,$28.00
Beer Draft,12oz STS Pilsner,1,$9.00
Beer Draft,16oz Black Butte Porter,1,$7.20
Beer Draft,16oz Farmers Light Lager,2,$16.20
Beer Draft,16oz Gummy Worms Hazy,1,$9.00
Beer Draft,16oz Mighty Cider,1,$9.00
Beer Draft,16oz Swamis IPA,1,$9.00
Beer Draft,20oz Black Butte Porter,1,$11.00
Beer Draft,20oz Faction Pilsner,7,$77.00
Beer Draft,20oz Farmers Light Lager,3,$33.00
Beer Draft,20oz Gummy Worms Hazy,1,$11.00
Beer Draft,20oz Swamis IPA,6,$66.00
Beer Draft,22oz STS Pilsner,6,$84.00
Bourbon Whiskey,Barrel Old Fashioned,3,$57.00
Bourbon Whiskey,Buffalo Trace,3,$42.00
Bourbon Whiskey,Crown Royal,1,$15.00
Bourbon Whiskey,Green River Bourbon,5,$70.00
Bourbon Whiskey,Jameson,4,$60.00
Bourbon Whiskey,Maker's Mark,2,$30.00
Bourbon Whiskey,Michters,1,$16.00
Bourbon Whiskey,Woodford,3,$48.00
Breakfast Food,Avocado Toast,3,$75.40
Breakfast Food,BLT Benedict,3,$72.80
Breakfast Food,Breakfast Grilled Cheese Sandwich,5,$120.00
Breakfast Food,Buttermilk Pancakes,4,$76.00
Breakfast Food,Cornmeal Biscuit,2,$22.00
Breakfast Food,Egg White Frittata,1,$21.00
Breakfast Food,Garden Omelet,3,$66.00
Breakfast Food,Greek Yogurt Parfait,4,$60.00
Breakfast Food,Lemon Ricotta Waffle,2,$34.20
Breakfast Food,Steak & Eggs,2,$76.00
Breakfast Food,Steel Cut Oats,2,$28.00
Breakfast Food,Two Egg Breakfast,15,$330.00
BTL Chardonnay,Barnett SB,1,$125.00
BTL Other White,Open White,1,$0.00
Cordial,Aperol,1,$14.00
Corkage Fee exempt,Mem Wine Corkage,1,$15.00
Dessert,Carrot Cake,8,$111.00
Dessert,Cheesecake,5,$58.80
Dessert,Chocolate Mousse,5,$69.00
Dessert,Crème Brûlée,1,$12.00
Entree Fish,Ahi Tuna Niçoise,6,$145.00
Entree Fish,Dungeness Crab Louis,10,$307.20
Entree Fish,Lobster Cappelletti,1,$30.00
Entree Fish,Pan Seared Scallops,3,$124.80
Entree Fish,Roasted King Salmon,5,$202.40
Entree Kids,Kids - Butter Noodles,2,$24.00
Entrée Meat,Bistro Filet Steak Frites,4,$266.00
Entrée Meat,Double Cut Pork Chop,4,$172.80
Entrée Meat,Grilled Zabuton Steak,2,$135.00
Entrée Meat,Matchplay Burger,26,$635.00
Entrée Meat,Matchplay Short Rib Burger,18,$477.90
Entrée Meat,Open Food,7,$36.40
Entrée Meat,Steak Frites,2,$60.80
Entrée Meat,Tagliatelle Bolognese,14,$382.80
Entree Poultry,Chicken Pot Pie,14,$366.00
Entree Poultry,Fried Chicken Sandwich,19,$470.00
Entree Vegetarian,Fried Green Tomato Caprese,8,$174.80
Entree Vegetarian,Parisian Gnocchi,3,$75.60
Entree Vegetarian,Spring Pea Agnolotti,4,$91.80
Entree Vegetarian,Wild Mushroom Pappardelle,6,$135.00
Fire Course,***FIRE***,10,$0.00
Gin,Barr Hill,1,$16.00
Gin,Bombay Dry,1,$12.00
Gin,Hendrick's,1,$15.00
Gin,Martin Miller's,2,$30.00
Gin,Nolets,2,$32.00
GLS Wine ,Barnett SB BTG,2,$40.00
GLS Wine ,Beringer Cab - BTG,1,$15.00
GLS Wine ,Bernardus PN - BTG ,2,$44.00
GLS Wine ,Black Stallion - Cab - BTG ,5,$78.20
GLS Wine ,Bravium PN - BTG,3,$50.40
GLS Wine ,Buchaine Chardonnay BTG,4,$68.00
GLS Wine ,Chandon BTB GLS,2,$36.80
GLS Wine ,Chandon By the Bay,5,$95.00
GLS Wine ,Daou BTG,3,$47.60
GLS Wine ,Goldeneye BTG,4,$72.00
GLS Wine ,Goldeneye Rose GLS,4,$84.00
GLS Wine ,Honig SB BTG,3,$36.00
GLS Wine ,Honig SB GLS,13,$204.80
GLS Wine ,Jayson Chardonnay BTG,3,$81.00
GLS Wine ,Justin Chardonnay BTG,3,$50.40
Liqueur,Blueberry Lavender ,1,$19.00
Liqueur,Limoncello Collins,1,$19.00
Liquor,Open Liquor,9,$99.20
Liquor,Silverado Mary,2,$34.20
Liquor Modifiers,(MOD) Do Not Make,2,$0.00
Liquor Modifiers,(MOD) Extra,1,$0.00
Liquor Modifiers,(MOD) No,1,$0.00
Liquor Modifiers,(MOD) Special Instruction,133,$0.00
Liquor Prep,Club Soda,1,$0.00
Liquor Prep,Dry,1,$0.00
Liquor Prep,NUTRL - Orange,6,$42.00
Liquor Prep,NUTRL Black Cherry,3,$21.00
Liquor Prep,Olive,3,$0.00
Liquor Prep,Rocks,2,$0.00
Liquor Prep,Soda,1,$0.00
Liquor Prep,Tonic,5,$0.00
N/C Food Mods,(MOD) (Meat Temp) Medium,32,$0.00
N/C Food Mods,(MOD) Med. Well,8,$0.00
N/C Food Mods,(MOD) Well Done,7,$0.00
N/C Food Mods,Aioli on the Side,8,$0.00
N/C Food Mods,English Muffin,2,$0.00
N/C Food Mods,Fingerlings,1,$0.00
N/C Food Mods,Fruit,4,$0.00
N/C Food Mods,No Anchovies,2,$0.00
N/C Food Mods,No Cheese,3,$0.00
N/C Food Mods,No Egg,1,$0.00
N/C Food Mods,No Pickles,4,$0.00
N/C Food Mods,No Sauce,1,$0.00
N/C Food Mods,No Side,3,$0.00
N/C Food Mods,No Tomato,3,$0.00
N/C Food Mods,Over Easy,5,$0.00
N/C Food Mods,Over Hard,2,$0.00
N/C Food Mods,Over Medium,2,$0.00
N/C Food Mods,Poached,1,$0.00
N/C Food Mods,Scrambled,6,$0.00
N/C Food Mods,Sourdough,13,$0.00
N/C Food Mods,Sunny Side Up,4,$0.00
N/C Food Mods,To  Go,11,$0.00
N/C Food Mods,Wheat,3,$0.00
N/C Food Mods,White,1,$0.00
Non-Alcoholic Beverage,(MOD) Med. Rare,7,$0.00
Non-Alcoholic Beverage,Arnold Palmer,4,$19.00
