Silverado Resort : Sales by Item
Rpt Date,5/16/2026 2:28:48 PM
Date Range,5/14/2026 - 5/14/2026
Time Range,12:00 AM - 11:59 PM
Class Type,Sales Class
Cost Centers,02-MatchPlay
Include Zero Priced Items,Yes
Major Classes,All
Major Jobs,All
Menu Items,All
Minor Classes,All
Minor Jobs,All
Order Status,All
Report By,User Closed
Segments,All
Service Types,All
Users,All

Minor Class,Menu Item,Quantity,Amount
Non-Alcoholic Beverage,Club Soda,1,$0.00
Non-Alcoholic Beverage,Coffee,30,$150.00
Non-Alcoholic Beverage,Coke,6,$28.00
Non-Alcoholic Beverage,Diet Coke,6,$28.00
Non-Alcoholic Beverage,Grapefruit Juice,2,$12.00
Non-Alcoholic Beverage,Grill Cappuccino,2,$9.60
Non-Alcoholic Beverage,Hot Tea,2,$7.50
Non-Alcoholic Beverage,Iced Tea,13,$61.00
Non-Alcoholic Beverage,Latte,1,$6.00
Non-Alcoholic Beverage,N/A,2,$70.00
Non-Alcoholic Beverage,Orange Juice,6,$36.00
Non-Alcoholic Beverage,Sprite,2,$8.00
Non-Alcoholic Beverage,Whole Milk,3,$0.00
Other,Wine Corkage ,1,$35.00
Priced Bev Mods,(Med),6,$0.00
Priced Food Mod,Add Avocado,4,$21.60
Priced Food Mod,Add Bacon,1,$4.80
Priced Food Mod,Add Egg,3,$8.40
Priced Food Mod,Grilled Chicken,9,$88.00
Priced Food Mod,Salmon,7,$112.20
Priced Food Mod,Side Caesar,2,$4.50
Priced Liquor Mods,$ Liq Prep ,2,$15.00
Priced Liquor Mods,Bloody,5,$18.40
Priced Liquor Mods,Cadillac Margarita,2,$0.00
Priced Liquor Mods,Espresso Martini,5,$17.48
Priced Liquor Mods,Margarita,9,$26.46
Priced Liquor Mods,Martini,7,$21.08
Priced Liquor Mods,Mimosa,5,$10.00
Priced Liquor Mods,Mule,3,$9.66
Priced Liquor Mods,Negroni,2,$6.90
Priced Liquor Mods,Old Fashioned,6,$19.78
Priced Liquor Mods,Pink Lady,1,$3.22
Priced Liquor Mods,Screwdriver,3,$11.04
Priced Liquor Mods,Spritz,1,$3.22
Priced Liquor Mods,Transfusion ,3,$9.66
Priced Liquor Mods,Up,1,$3.22
Rum,Don Q,2,$21.60
Salad & Soup,Asparagus Soup,2,$24.00
Salad & Soup,Burrata & Asparagus Salad,12,$228.00
Salad & Soup,Matchplay Caesar,18,$315.00
Salad & Soup,Strawberry Panzanella,10,$178.60
Sides,Applewood Bacon,9,$9.00
Sides,Chicken Apple Sausage,4,$9.00
Sides,Fries,63,$0.00
Sides,Fruit,6,$72.00
Sides,House Fries,10,$112.80
Sides,One Hen Pen Farm Egg,1,$4.00
Sides,Thick Cut Ham,1,$0.00
Sides,Toast,5,$20.00
Tequila,Don Fulano Blanco,2,$24.00
Tequila,Fortaleza,9,$115.20
Tequila,Herradura Silver,6,$81.20
Tequila,Sour Cherry Margarita,2,$34.20
Vodka,Belvedere,1,$12.80
Vodka,Hanson,15,$207.20
Vodka,Ketel One,8,$100.80
Vodka,Tito's,28,$443.20
Total,,1114,"$11,701.32"
